model	label	repo	commit	traces	assertions	unmatched	source_tokens	duration_s	status	note
us.anthropic.claude-opus-4-8	AMG	https://github.com/LLNL/AMG	unpinned	1	18	0	5340	85.9	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-opus-4-8	AMG2023	https://github.com/LLNL/AMG2023	unpinned	2	25	0	6725	113.9	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-opus-4-8	Kripke	https://github.com/LLNL/Kripke	unpinned	2	26	0	6240	93.8	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-opus-4-8	Quicksilver	https://github.com/LLNL/Quicksilver	unpinned	2	32	0	11082	139.4	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-opus-4-8	STREAM	https://github.com/jeffhammond/STREAM	unpinned	2	25	0	2042	81.3	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-opus-4-8	hpl	https://github.com/icl-utk-edu/hpl	unpinned	1	17	0	3114	85.2	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-opus-4-8	hypre:BoomerAMG	https://github.com/hypre-space/hypre	unpinned	3	36	0	6709	137.3	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-opus-4-8	lammps:reaxff	https://github.com/lammps/lammps	unpinned	3	33	0	7457	167.2	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-opus-4-8	miniFE	https://github.com/Mantevo/miniFE	unpinned	4	37	0	5827	159.0	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-opus-4-8	mixbench	https://github.com/ekondis/mixbench	unpinned	5	46	0	6518	112.3	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-opus-4-8	osu-micro-benchmarks:osu_allreduce	https://github.com/jwu274/osu-micro-benchmarks	unpinned	2	25	0	3028	65.6	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-opus-4-8	osu-micro-benchmarks:osu_bw	https://github.com/jwu274/osu-micro-benchmarks	unpinned	2	25	0	5067	74.6	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-opus-4-8	osu-micro-benchmarks:osu_latency	https://github.com/jwu274/osu-micro-benchmarks	unpinned	2	22	0	4161	75.0	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-sonnet-5	AMG	https://github.com/LLNL/AMG	unpinned	1	21	0	8836	91.8	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-sonnet-5	AMG2023	https://github.com/LLNL/AMG2023	unpinned	2	16	0	2918	58.5	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-sonnet-5	Kripke	https://github.com/LLNL/Kripke	unpinned	3	35	1	8932	103.5	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-sonnet-5	Quicksilver	https://github.com/LLNL/Quicksilver	unpinned	2	28	0	9629	104.1	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-sonnet-5	STREAM	https://github.com/jeffhammond/STREAM	unpinned	1	18	0	4018	76.9	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-sonnet-5	hpl	https://github.com/icl-utk-edu/hpl	unpinned	1	15	1	5963	107.4	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-sonnet-5	hypre:BoomerAMG	https://github.com/hypre-space/hypre	unpinned	2	15	1	7825	130.8	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-sonnet-5	lammps:reaxff	https://github.com/lammps/lammps	unpinned	2	16	0	11806	184.4	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-sonnet-5	miniFE	https://github.com/Mantevo/miniFE	unpinned	4	49	0	8483	145.8	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-sonnet-5	mixbench	https://github.com/ekondis/mixbench	unpinned	5	66	0	5246	103.2	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-sonnet-5	osu-micro-benchmarks:osu_allreduce	https://github.com/jwu274/osu-micro-benchmarks	unpinned	1	16	0	4563	50.8	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-sonnet-5	osu-micro-benchmarks:osu_bw	https://github.com/jwu274/osu-micro-benchmarks	unpinned	2	15	0	4996	55.6	ok	unpinned: could not resolve commit (HEAD)
us.anthropic.claude-sonnet-5	osu-micro-benchmarks:osu_latency	https://github.com/jwu274/osu-micro-benchmarks	unpinned	2	14	0	3702	51.7	ok	unpinned: could not resolve commit (HEAD)
