# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.42
2                       7.41
4                       7.40
8                       7.67
16                      7.68
32                      7.68
64                      7.77
128                     7.79
256                     7.80
512                     7.86
1024                    7.95
2048                    8.21
4096                    8.67
8192                    9.45
16384                  10.33
32768                  12.01
65536                  14.58
131072                 35.06
262144                 45.97
524288                 84.33
1048576                76.72
2097152               128.61
4194304               240.00
