# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.41
2                       7.41
4                       7.40
8                       7.69
16                      7.69
32                      7.69
64                      7.78
128                     7.81
256                     7.81
512                     7.84
1024                    7.94
2048                    8.21
4096                    8.67
8192                    9.43
16384                  10.32
32768                  12.00
65536                  14.40
131072                 35.02
262144                 45.93
524288                 83.93
1048576                76.68
2097152               129.98
4194304               238.66
