# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.33
2                       7.34
4                       7.32
8                       7.60
16                      7.61
32                      7.60
64                      7.70
128                     7.72
256                     7.75
512                     7.78
1024                    7.85
2048                    8.13
4096                    8.58
8192                    9.39
16384                  10.22
32768                  11.98
65536                  14.57
131072                 35.15
262144                 45.97
524288                 84.10
1048576                76.46
2097152               128.30
4194304               239.42
