# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.43
2                       7.42
4                       7.41
8                       7.68
16                      7.68
32                      7.68
64                      7.78
128                     7.79
256                     7.80
512                     7.84
1024                    7.94
2048                    8.21
4096                    8.62
8192                    9.44
16384                  10.34
32768                  11.98
65536                  14.51
131072                 35.09
262144                 46.01
524288                 84.21
1048576                76.70
2097152               128.91
4194304               238.86
