# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.43
2                       7.41
4                       7.40
8                       7.67
16                      7.69
32                      7.68
64                      7.78
128                     7.79
256                     7.80
512                     7.84
1024                    7.93
2048                    8.20
4096                    8.67
8192                    9.43
16384                  10.33
32768                  12.03
65536                  14.49
131072                 35.01
262144                 46.06
524288                 84.44
1048576                76.74
2097152               128.42
4194304               237.95
