# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.41
2                       7.41
4                       7.40
8                       7.70
16                      7.69
32                      7.68
64                      7.78
128                     7.80
256                     7.82
512                     7.86
1024                    7.94
2048                    8.22
4096                    8.69
8192                    9.49
16384                  10.27
32768                  11.94
65536                  14.29
131072                 35.08
262144                 46.07
524288                 84.42
1048576                76.69
2097152               128.38
4194304               239.43
