# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.41
2                       7.41
4                       7.40
8                       7.69
16                      7.69
32                      7.69
64                      7.77
128                     7.79
256                     7.81
512                     7.85
1024                    7.94
2048                    8.21
4096                    8.69
8192                    9.47
16384                  10.29
32768                  11.89
65536                  14.35
131072                 35.11
262144                 45.98
524288                 84.34
1048576                76.72
2097152               128.55
4194304               238.40
