# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.43
2                       7.42
4                       7.41
8                       7.69
16                      7.69
32                      7.70
64                      7.78
128                     7.80
256                     7.82
512                     7.85
1024                    7.94
2048                    8.23
4096                    8.63
8192                    9.47
16384                  10.34
32768                  12.03
65536                  14.50
131072                 34.98
262144                 45.92
524288                 84.11
1048576                76.64
2097152               128.51
4194304               238.79
