# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.41
2                       7.41
4                       7.40
8                       7.69
16                      7.69
32                      7.69
64                      7.78
128                     7.81
256                     7.81
512                     7.85
1024                    7.95
2048                    8.22
4096                    8.65
8192                    9.45
16384                  10.28
32768                  11.94
65536                  14.38
131072                 35.04
262144                 45.92
524288                 84.38
1048576                76.68
2097152               128.25
4194304               238.83
