# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.41
2                       7.41
4                       7.40
8                       7.67
16                      7.68
32                      7.67
64                      7.77
128                     7.79
256                     7.80
512                     7.84
1024                    7.92
2048                    8.22
4096                    8.63
8192                    9.48
16384                  10.36
32768                  12.07
65536                  14.50
131072                 35.16
262144                 46.05
524288                 84.42
1048576                76.69
2097152               128.82
4194304               239.64
