# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.43
2                       7.41
4                       7.40
8                       7.68
16                      7.68
32                      7.68
64                      7.78
128                     7.80
256                     7.81
512                     7.84
1024                    7.93
2048                    8.21
4096                    8.64
8192                    9.45
16384                  10.30
32768                  11.92
65536                  14.40
131072                 34.98
262144                 46.05
524288                 84.43
1048576                76.70
2097152               128.36
4194304               238.08
