# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.43
2                       7.42
4                       7.40
8                       7.70
16                      7.69
32                      7.70
64                      7.79
128                     7.82
256                     7.82
512                     7.86
1024                    7.95
2048                    8.22
4096                    8.65
8192                    9.48
16384                  10.32
32768                  12.03
65536                  14.55
131072                 35.11
262144                 46.19
524288                 84.41
1048576                76.71
2097152               128.38
4194304               238.51
