# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.41
2                       7.41
4                       7.40
8                       7.68
16                      7.69
32                      7.70
64                      7.79
128                     7.80
256                     7.82
512                     7.84
1024                    7.94
2048                    8.22
4096                    8.64
8192                    9.53
16384                  10.40
32768                  12.11
65536                  14.61
131072                 35.14
262144                 46.15
524288                 84.54
1048576                76.79
2097152               128.28
4194304               239.78
