# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.42
2                       7.41
4                       7.41
8                       7.68
16                      7.69
32                      7.69
64                      7.78
128                     7.79
256                     7.81
512                     7.86
1024                    7.94
2048                    8.23
4096                    8.63
8192                    9.45
16384                  10.29
32768                  11.93
65536                  14.56
131072                 35.06
262144                 45.85
524288                 84.12
1048576                76.69
2097152               128.61
4194304               239.17
