# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.44
2                       7.41
4                       7.40
8                       7.67
16                      7.70
32                      7.68
64                      7.78
128                     7.80
256                     7.82
512                     7.87
1024                    7.95
2048                    8.23
4096                    8.65
8192                    9.44
16384                  10.32
32768                  12.00
65536                  14.48
131072                 35.08
262144                 45.93
524288                 84.17
1048576                76.78
2097152               128.86
4194304               239.60
