# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.35
2                       7.33
4                       7.31
8                       7.59
16                      7.59
32                      7.60
64                      7.69
128                     7.70
256                     7.72
512                     7.77
1024                    7.84
2048                    8.11
4096                    8.58
8192                    9.37
16384                  10.23
32768                  11.93
65536                  14.47
131072                 34.86
262144                 45.80
524288                 83.84
1048576                76.51
2097152               129.04
4194304               237.61
