# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.44
2                       7.41
4                       7.40
8                       7.67
16                      7.69
32                      7.69
64                      7.77
128                     7.79
256                     7.81
512                     7.84
1024                    7.94
2048                    8.22
4096                    8.64
8192                    9.46
16384                  10.36
32768                  12.01
65536                  14.49
131072                 35.08
262144                 45.96
524288                 84.25
1048576                76.65
2097152               128.26
4194304               239.77
