
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      94.25
2                     102.80
4                      97.64
8                     113.12
16                     99.00
32                    107.31
64                    100.98
128                    97.17
256                   101.32
512                   112.65
1024                  108.30
2048                  110.31
4096                  130.92
8192                  213.60
16384                 310.84
32768                 564.30
65536                1297.16
131072               2521.90
262144               1680.48
524288               3445.48
1048576              7084.33
