
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     151.46
2                     162.65
4                     169.70
8                     167.32
16                    153.05
32                    164.93
64                    153.60
128                   162.25
256                   173.90
512                   166.44
1024                  159.16
2048                  176.90
4096                  342.85
8192                  353.89
16384                 424.14
32768                 356.13
65536                 510.55
131072                845.23
262144               2100.09
524288               3543.30
1048576              7850.83
