
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     131.20
2                     162.22
4                     191.65
8                     179.00
16                    191.70
32                    169.26
64                    162.05
128                   174.62
256                   185.04
512                   215.56
1024                  161.12
2048                  190.66
4096                  202.68
8192                  271.48
16384                 257.79
32768                 476.49
65536                 670.44
131072               2883.76
262144               2254.29
524288               4328.57
1048576              8575.14
