
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     145.79
2                     156.18
4                     157.46
8                     173.60
16                    162.51
32                    191.37
64                    159.58
128                   176.19
256                   170.62
512                   163.95
1024                  154.84
2048                  194.78
4096                  298.94
8192                  346.83
16384                 489.94
32768                 364.22
65536                 538.07
131072               1010.05
262144               1804.12
524288               3648.55
1048576              7559.15
