
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     115.93
2                     142.79
4                     155.02
8                     162.81
16                    139.97
32                    160.36
64                    141.81
128                   142.90
256                   157.33
512                   145.19
1024                  151.45
2048                  179.02
4096                  195.35
8192                  226.53
16384                 236.25
32768                 418.42
65536                 653.81
131072               2991.49
262144               1817.73
524288               3522.14
1048576              7513.04
