
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     126.63
2                     161.81
4                     144.70
8                     135.41
16                    153.80
32                    166.95
64                    170.52
128                   136.48
256                   140.79
512                   151.65
1024                  169.20
2048                  150.91
4096                  189.10
8192                  214.19
16384                 235.36
32768                 416.96
65536                 628.33
131072               2891.47
262144               1815.75
524288               3725.36
1048576              7966.88
