
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     118.85
2                     146.05
4                     143.15
8                     139.61
16                    152.86
32                    142.02
64                    163.33
128                   148.79
256                   136.93
512                   156.37
1024                  165.43
2048                  151.28
4096                  174.84
8192                  206.45
16384                 247.90
32768                 421.20
65536                 630.01
131072               3040.85
262144               1959.19
524288               3546.21
1048576              7704.56
