
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     157.03
2                     156.44
4                     144.88
8                     166.93
16                    154.76
32                    148.47
64                    148.35
128                   179.24
256                   146.43
512                   196.78
1024                  154.92
2048                  204.11
4096                  340.80
8192                  374.95
16384                 512.08
32768                 420.38
65536                 553.58
131072               1080.90
262144               2284.48
524288               4479.00
1048576              9143.20
