
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     136.81
2                     175.52
4                     155.04
8                     179.32
16                    180.06
32                    172.43
64                    183.18
128                   175.81
256                   151.39
512                   185.12
1024                  173.36
2048                  203.82
4096                  203.40
8192                  251.54
16384                 260.62
32768                 462.45
65536                 680.03
131072               3005.65
262144               2072.64
524288               4322.97
1048576              8307.96
