
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     117.98
2                     142.15
4                     143.45
8                     148.42
16                    152.56
32                    162.83
64                    142.07
128                   167.82
256                   142.03
512                   158.21
1024                  155.24
2048                  169.03
4096                  186.61
8192                  244.36
16384                 236.38
32768                 418.26
65536                 627.08
131072               2983.11
262144               1711.83
524288               3723.65
1048576              7750.03
