
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     137.64
2                     132.98
4                     159.24
8                     148.17
16                    141.85
32                    168.83
64                    150.00
128                   150.69
256                   150.31
512                   139.97
1024                  161.96
2048                  162.44
4096                  205.83
8192                  227.94
16384                 236.64
32768                 418.49
65536                 649.17
131072               2957.08
262144               1950.33
524288               3864.30
1048576              7769.69
