
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     149.32
2                     159.32
4                     156.62
8                     165.50
16                    156.30
32                    156.79
64                    173.91
128                   155.17
256                   177.82
512                   164.84
1024                  176.05
2048                  192.72
4096                  383.79
8192                  353.39
16384                 495.07
32768                 446.96
65536                 506.46
131072                925.98
262144               1853.82
524288               3932.74
1048576              7465.46
