
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     155.29
2                     167.00
4                     153.77
8                     171.94
16                    172.51
32                    169.08
64                    189.81
128                   171.52
256                   162.61
512                   182.30
1024                  170.08
2048                  192.74
4096                  211.93
8192                  252.33
16384                 263.05
32768                 472.98
65536                 677.20
131072               2881.13
262144               2047.84
524288               4592.83
1048576              8302.96
