
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     156.99
2                     161.06
4                     161.45
8                     163.33
16                    147.61
32                    196.68
64                    167.79
128                   164.64
256                   163.28
512                   166.75
1024                  162.89
2048                  181.00
4096                  331.86
8192                  349.70
16384                 426.15
32768                 359.61
65536                 580.50
131072                940.23
262144               2043.74
524288               3717.68
1048576              7844.49
