
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     158.41
2                     154.26
4                     174.52
8                     159.20
16                    169.62
32                    163.83
64                    179.42
128                   158.60
256                   149.53
512                   170.24
1024                  172.69
2048                  170.95
4096                  352.94
8192                  352.28
16384                 484.60
32768                 413.44
65536                 559.98
131072                963.00
262144               1911.43
524288               3811.00
1048576              7618.58
