
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     127.34
2                     121.19
4                     158.66
8                     148.30
16                    164.18
32                    180.81
64                    156.01
128                   159.17
256                   145.98
512                   141.81
1024                  167.51
2048                  170.41
4096                  187.28
8192                  232.06
16384                 236.63
32768                 416.52
65536                 629.16
131072               2955.93
262144               1738.34
524288               3777.54
1048576              7352.48
