srun: Required node not available (down, drained or reserved)
srun: job 1 queued and waiting for resources
srun: job 1 has been allocated resources

# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     156.40
2                     157.33
4                     156.12
8                     161.49
16                    158.79
32                    161.46
64                    159.23
128                   172.07
256                   169.06
512                   158.91
1024                  171.57
2048                  182.59
4096                  347.46
8192                  392.16
16384                 306.39
32768                 375.71
65536                 589.11
131072               1149.19
262144               2618.96
524288               4609.37
1048576              8215.32
