
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     136.12
2                     189.31
4                     179.05
8                     170.36
16                    182.43
32                    192.42
64                    189.20
128                   175.48
256                   181.92
512                   180.19
1024                  184.65
2048                  194.61
4096                  215.48
8192                  294.21
16384                 256.40
32768                 463.06
65536                 675.80
131072               3036.56
262144               2342.92
524288               4356.55
1048576              8290.70
