
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     164.47
2                     149.08
4                     160.43
8                     160.45
16                    151.50
32                    158.76
64                    169.09
128                   165.36
256                   167.71
512                   164.99
1024                  176.84
2048                  193.14
4096                  335.57
8192                  381.51
16384                 384.47
32768                 400.68
65536                 555.96
131072               1102.56
262144               2552.20
524288               4351.69
1048576              9244.97
