
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      91.70
2                      93.75
4                     105.13
8                     104.70
16                    107.03
32                    100.49
64                    111.75
128                    95.52
256                   126.40
512                   106.35
1024                  115.82
2048                  115.32
4096                  122.23
8192                  213.58
16384                 312.01
32768                 573.75
65536                1357.66
131072               2703.44
262144               1778.26
524288               3484.86
1048576              7045.06
