srun: job 3 queued and waiting for resources
srun: job 3 has been allocated resources

# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     162.59
2                     154.97
4                     156.33
8                     160.91
16                    159.60
32                    178.80
64                    160.86
128                   166.53
256                   178.27
512                   168.63
1024                  209.62
2048                  192.98
4096                  402.40
8192                  351.31
16384                 518.58
32768                 399.66
65536                 567.35
131072               1011.99
262144               2050.75
524288               4880.08
1048576              9345.13
