
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      90.69
2                      90.42
4                     102.96
8                     113.39
16                    119.96
32                    113.58
64                    115.51
128                    99.24
256                   100.68
512                   105.85
1024                  110.49
2048                  113.53
4096                  110.73
8192                  205.08
16384                 315.64
32768                 560.13
65536                1238.93
131072               2602.04
262144               1786.31
524288               3245.42
1048576              7070.94
