
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      90.26
2                      99.60
4                     115.91
8                     107.81
16                    104.89
32                    107.78
64                    110.52
128                   105.17
256                   109.84
512                   107.26
1024                  107.07
2048                  118.45
4096                  123.40
8192                  213.44
16384                 307.94
32768                 565.66
65536                1266.11
131072               2606.28
262144               1779.12
524288               3361.43
1048576              6996.48
