
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     126.33
2                     154.76
4                     152.98
8                     143.40
16                    160.11
32                    149.78
64                    139.74
128                   157.26
256                   154.38
512                   144.35
1024                  167.68
2048                  158.68
4096                  186.63
8192                  240.41
16384                 235.78
32768                 418.88
65536                 629.32
131072               2968.61
262144               1860.49
524288               3746.47
1048576              7922.00
