
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      95.91
2                     103.10
4                      95.82
8                     100.60
16                    112.40
32                    101.70
64                     99.33
128                   106.86
256                    99.42
512                   111.12
1024                  107.58
2048                  116.03
4096                  131.26
8192                  215.03
16384                 311.74
32768                 559.71
65536                1262.41
131072               2485.22
262144               1716.26
524288               3835.02
1048576              6968.69
