
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     131.13
2                     148.42
4                     142.90
8                     154.03
16                    160.76
32                    150.09
64                    146.54
128                   154.66
256                   147.52
512                   169.09
1024                  160.14
2048                  147.57
4096                  181.48
8192                  218.91
16384                 234.44
32768                 418.22
65536                 626.34
131072               3044.92
262144               1794.64
524288               3656.72
1048576              7921.04
