
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     132.73
2                     178.96
4                     168.51
8                     176.88
16                    167.60
32                    173.92
64                    180.80
128                   186.63
256                   181.46
512                   186.43
1024                  175.49
2048                  177.51
4096                  194.01
8192                  249.32
16384                 258.12
32768                 462.76
65536                 679.61
131072               2879.72
262144               2167.28
524288               4368.76
1048576              8383.24
