
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     141.02
2                     165.67
4                     139.45
8                     146.81
16                    159.44
32                    158.71
64                    149.40
128                   152.12
256                   138.39
512                   171.17
1024                  154.79
2048                  169.29
4096                  183.27
8192                  216.33
16384                 295.54
32768                 418.77
65536                 629.58
131072               3023.70
262144               1731.42
524288               3701.45
1048576              7852.22
