
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     151.56
2                     156.18
4                     157.02
8                     139.86
16                    167.04
32                    174.91
64                    160.54
128                   158.27
256                   159.19
512                   173.63
1024                  181.19
2048                  180.36
4096                  346.73
8192                  392.79
16384                 491.08
32768                 357.44
65536                 499.27
131072               1186.93
262144               2009.82
524288               3728.58
1048576              7623.74
