srun: job 9 queued and waiting for resources
srun: job 9 has been allocated resources

# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     147.47
2                     166.84
4                     158.48
8                     167.60
16                    153.37
32                    153.77
64                    153.32
128                   166.25
256                   160.52
512                   163.82
1024                  174.35
2048                  202.77
4096                  434.51
8192                  411.86
16384                 513.03
32768                 382.29
65536                 594.98
131072               1154.26
262144               2258.60
524288               4479.56
1048576              9307.99
