srun: job 16 queued and waiting for resources
srun: job 16 has been allocated resources

# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     148.40
2                     159.91
4                     145.29
8                     152.96
16                    151.59
32                    168.45
64                    163.83
128                   183.28
256                   149.76
512                   172.02
1024                  146.90
2048                  186.15
4096                  349.46
8192                  349.73
16384                 494.95
32768                 354.85
65536                 508.90
131072               1063.86
262144               2069.78
524288               3798.22
1048576              7760.95
