
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     165.72
2                     160.19
4                     147.14
8                     155.76
16                    154.76
32                    153.12
64                    167.33
128                   159.27
256                   166.52
512                   162.02
1024                  176.74
2048                  171.24
4096                  338.09
8192                  340.94
16384                 578.21
32768                 403.45
65536                 625.32
131072               1122.88
262144               2211.38
524288               4759.30
1048576              9081.53
