
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     160.80
2                     185.72
4                     153.34
8                     178.77
16                    162.99
32                    191.93
64                    168.24
128                   166.17
256                   167.33
512                   185.42
1024                  178.28
2048                  193.63
4096                  372.25
8192                  372.24
16384                 401.72
32768                 379.29
65536                 552.92
131072               1165.75
262144               2214.29
524288               4382.79
1048576              8787.86
