
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     332.75
2                     203.91
4                     156.97
8                     169.86
16                    162.57
32                    154.37
64                    151.34
128                   160.04
256                   159.32
512                   165.89
1024                  176.88
2048                  175.59
4096                 1286.09
8192                  414.97
16384                 302.52
32768                 355.65
65536                 541.45
131072                902.12
262144               1975.15
524288               3726.06
1048576              7776.00
