
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     137.81
2                     160.79
4                     162.95
8                     171.60
16                    165.09
32                    178.61
64                    163.41
128                   166.96
256                   173.49
512                   166.42
1024                  178.20
2048                  187.22
4096                  205.42
8192                  253.99
16384                 256.26
32768                 463.89
65536                 672.82
131072               2933.29
262144               2183.34
524288               4581.72
1048576              8427.92
