
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     139.32
2                     162.71
4                     171.73
8                     164.36
16                    158.35
32                    167.17
64                    175.74
128                   168.26
256                   187.66
512                   185.13
1024                  176.43
2048                  182.11
4096                  202.63
8192                  227.21
16384                 331.62
32768                 468.52
65536                 685.76
131072               2893.12
262144               2057.69
524288               4547.02
1048576              8463.94
