
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     126.80
2                     156.33
4                     159.13
8                     170.11
16                    188.61
32                    191.18
64                    175.98
128                   173.60
256                   180.04
512                   176.70
1024                  181.07
2048                  191.26
4096                  193.88
8192                  269.80
16384                 280.56
32768                 474.69
65536                 682.15
131072               2843.10
262144               2199.83
524288               4624.82
1048576              8646.84
