
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     150.50
2                     156.05
4                     149.45
8                     161.20
16                    158.02
32                    188.53
64                    163.16
128                   166.34
256                   173.22
512                   167.99
1024                  166.36
2048                  197.90
4096                  337.91
8192                  351.81
16384                 472.47
32768                 360.94
65536                 517.38
131072                860.11
262144               2160.01
524288               3637.95
1048576              7909.11
