
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      90.95
2                      91.14
4                      92.94
8                     106.45
16                    116.61
32                    101.17
64                     99.00
128                   106.01
256                   110.88
512                   116.06
1024                  103.26
2048                  116.32
4096                  128.00
8192                  223.20
16384                 311.64
32768                 593.78
65536                1255.30
131072               2668.46
262144               1793.48
524288               3555.33
1048576              7229.23
