
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      99.76
2                     101.14
4                     102.06
8                     101.58
16                    104.20
32                    108.92
64                    105.68
128                   102.48
256                   113.67
512                   107.46
1024                  113.62
2048                  129.60
4096                  114.53
8192                  224.68
16384                 311.96
32768                 558.69
65536                1243.86
131072               2600.02
262144               1686.94
524288               3228.33
1048576              6989.07
