
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     163.48
2                     159.23
4                     149.05
8                     176.06
16                    179.70
32                    177.60
64                    186.60
128                   173.50
256                   157.14
512                   167.01
1024                  169.91
2048                  200.48
4096                  352.75
8192                  338.53
16384                 508.92
32768                 384.66
65536                 553.66
131072               1092.21
262144               2165.74
524288               4578.39
1048576              9022.46
