
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     118.71
2                     152.52
4                     145.65
8                     144.88
16                    153.11
32                    147.11
64                    163.66
128                   149.13
256                   167.60
512                   150.01
1024                  171.79
2048                  152.20
4096                  181.67
8192                  216.84
16384                 243.52
32768                 418.40
65536                 630.16
131072               2991.86
262144               3943.26
524288               4739.80
1048576              7704.03
