
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     148.88
2                     159.47
4                     154.73
8                     177.44
16                    171.67
32                    146.65
64                    172.35
128                   154.44
256                   171.82
512                   155.47
1024                  182.29
2048                  176.45
4096                  571.16
8192                  466.81
16384                 395.32
32768                 355.74
65536                 499.70
131072               1028.74
262144               2009.48
524288               3840.46
1048576              8002.31
