
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      90.74
2                      94.96
4                     105.69
8                     105.87
16                    124.36
32                    101.99
64                    100.21
128                   112.06
256                   106.80
512                   118.16
1024                  102.88
2048                  115.29
4096                  118.02
8192                  206.20
16384                 312.67
32768                 556.98
65536                1276.66
131072               2620.89
262144               1766.82
524288               3362.60
1048576              6982.05
