# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.42
2                       7.41
4                       7.41
8                       7.68
16                      7.69
32                      7.69
64                      7.78
128                     7.80
256                     7.83
512                     7.86
1024                    7.94
2048                    8.23
4096                    8.69
8192                    9.47
16384                  10.32
32768                  12.03
65536                  14.45
131072                 35.18
262144                 46.01
524288                 84.77
1048576                76.80
2097152               129.28
4194304               239.11
