# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.41
2                       7.41
4                       7.40
8                       7.68
16                      7.70
32                      7.69
64                      7.79
128                     7.80
256                     7.81
512                     7.85
1024                    7.94
2048                    8.22
4096                    8.65
8192                    9.51
16384                  10.31
32768                  12.07
65536                  14.59
131072                 36.50
262144                 45.99
524288                 84.37
1048576                76.69
2097152               129.34
4194304               240.12
